aX,aY,aZ,gX,gY,gZ
1.916,2.047,1.459,-50.750,-67.130,232.260
1.831,2.155,1.850,-103.810,-91.140,243.460
1.843,2.208,1.930,-132.160,-124.320,267.470
1.826,2.174,2.004,-208.250,-145.390,295.540
1.067,2.110,1.798,-205.030,-179.620,300.860
0.725,2.149,1.946,-203.910,-207.970,328.930
0.737,2.403,1.887,-207.620,-217.910,392.000
0.457,2.285,1.866,-184.100,-247.030,415.450
-0.127,1.727,1.794,-174.790,-281.120,438.970
-0.253,1.223,1.255,-129.220,-287.070,465.990
-0.456,0.825,0.939,-75.250,-292.250,476.980
-0.444,-0.208,0.242,-53.620,-280.630,500.500
-0.222,-0.841,-0.235,-39.830,-273.980,510.300
0.554,-2.288,-0.362,-52.640,-265.720,507.710
1.178,-3.694,-0.483,-69.790,-260.820,477.540
1.174,-4.458,-0.710,-120.750,-263.760,337.330
0.844,-6.634,-0.745,-146.160,-235.690,240.590
0.930,-6.312,-0.018,-246.960,-245.420,99.680
0.327,-6.243,-0.256,-214.200,-242.620,14.840
-1.049,-5.486,0.004,-192.080,-262.150,-132.440
-1.685,-3.805,-0.029,-182.210,-276.780,-210.910
-2.651,-2.749,-0.774,-139.300,-286.440,-211.750
-2.795,-0.902,-1.383,-32.830,-237.230,-118.020
-2.668,-0.244,-1.739,-6.020,-215.250,-32.550
-3.334,-0.480,-1.768,1.960,-221.410,-12.530
-3.451,-0.320,-2.077,-22.750,-215.390,43.820
-3.317,-0.199,-3.020,16.030,-205.800,96.250
-2.870,-0.406,-3.502,93.380,-177.870,102.830
-2.220,-0.941,-3.804,107.660,-118.580,112.840
-1.810,-1.319,-4.061,101.500,-60.690,102.760
-1.478,-1.528,-3.868,92.260,24.080,87.780
-1.239,-1.536,-3.125,72.310,61.600,57.190
-1.126,-1.342,-2.440,52.570,63.910,49.840
-0.992,-0.849,-2.186,51.520,49.490,52.710
-0.992,-0.593,-1.976,58.310,42.210,57.330
-0.972,-0.522,-1.971,82.740,46.830,57.400
-0.885,-0.425,-1.960,107.520,74.410,55.370
-0.819,-0.365,-1.766,113.400,115.990,52.640
-0.662,-0.337,-1.336,117.320,137.130,52.290
-0.528,-0.275,-1.057,118.160,175.350,56.210
-0.481,-0.233,-0.405,121.730,208.460,64.190
-0.399,-0.224,0.306,127.470,211.400,70.770
-0.343,-0.270,0.663,133.770,196.770,82.180
-0.318,-0.423,1.236,137.620,185.010,86.870
-0.241,-0.530,1.486,153.160,146.090,86.240
-0.135,-0.703,1.492,159.530,103.250,79.870
-0.097,-0.891,1.310,176.400,83.860,66.150
-0.039,-0.953,0.902,190.890,55.230,58.520
0.014,-1.013,0.795,192.360,41.860,44.310
0.000,-1.054,0.461,190.820,38.780,31.360
-0.039,-1.009,0.326,172.830,45.220,30.380
-0.057,-0.986,0.233,166.810,42.770,32.270
-0.061,-0.981,0.186,148.470,39.130,37.030
-0.086,-1.062,0.191,121.520,28.350,42.630
-0.081,-1.125,0.183,102.200,13.090,53.760
-0.039,-1.161,0.140,73.220,3.430,57.260
0.028,-1.266,0.127,49.070,-21.490,53.830
0.038,-1.369,0.021,39.200,-32.620,39.200
0.025,-1.374,-0.187,30.380,-42.770,32.060
0.010,-1.269,-0.278,31.920,-39.270,21.560
0.010,-1.153,-0.365,38.080,-34.930,17.010
0.027,-1.114,-0.383,38.640,-23.660,15.750
0.068,-1.050,-0.360,38.150,-11.200,14.910
0.085,-1.012,-0.266,38.010,-5.250,15.750
0.086,-1.006,-0.195,41.440,5.040,15.680
0.081,-0.980,-0.025,42.840,10.360,16.310
0.086,-0.963,0.105,49.700,11.620,18.480
0.101,-0.934,0.143,60.620,12.600,20.370
0.112,-0.928,0.151,68.390,14.210,24.780
0.145,-0.932,0.133,87.710,14.210,27.020
0.166,-0.985,0.128,100.800,18.200,28.420
0.192,-1.074,0.191,99.400,19.250,26.110
0.225,-1.124,0.221,95.760,20.860,23.800
0.242,-1.184,0.230,95.900,19.530,18.620
0.244,-1.220,0.217,101.920,19.880,15.400
0.252,-1.258,0.175,114.940,16.730,10.990
0.235,-1.346,0.180,121.940,12.040,3.570
0.239,-1.413,0.151,125.090,9.940,-3.430
0.234,-1.465,0.135,118.090,5.040,-8.540
